 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
IL;;;;;;;;;;;;;; 13.854.546 ;;;;;;;; 1.690.910 ;; 1.977.273 ; - ; - ; 3.872.728 ; - ; - ; - ; - ; - ; 2.072.728 ; - ; 7.281.819 ; 12.118.182 ; 12.490.910 ; - ; 12.242.501 ; - ; 5.100.000 ; 12.190.000 ; - 
IM;;;;;;;;;;;;; 6.465.000 ; 180.000 ;;;;; 622.250 ;;;;;;;;;;;;;;;;;;;;;;;;
IN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.309.090 ; 7.695.451 ; 815.000 ; 1.865.000 ; 3.790.000 
IO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.487.274 ; 4.875.001 ; 4.772.728 ; 4.017.047 ; 3.395.455 ; 10.731.820 ; 3.545.455 ; 3.677.274 ; 2.836.364 ; 2.918.919 ; 4.081.082 ; 2.899.460 ; 10.521.622 
IQ;;;;;;;;;;;;;;; 6.490.910 ;; 2.781.819 ; 5.563.637 ;; 2.781.819 ; 1.854.546 ; 2.781.819 ;; 9.272.728 ; - ; 1.854.546 ; 1.854.546 ; 1.854.546 ; - ; 1.854.546 ; - ; 2.587.091 ; - ; - ; 1.854.546 ; - ; 1.854.546 ; - ; - ; - ; - ; 2.040.000 ; - 
IR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 885.000 ;; 105.000 ;;; 31.267.590 ;
IS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 7.252.253 ; 13.249.262 ; 22.765.023 ; 2.269.000 
IT;;;;;;;;;;;;;;; 925.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 490.000 ;;; 870.000 ;;;;;;;;
IV;;;;;;;;;;;;;;;;;;;;;;;; 2.850.000 ; - ; 3.000.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;
IW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 5.357.137 ; 9.823.864 ; 2.285.136 ; 1.910.014 ; 8.445.887 ;
IX;;;;;;;;;;;;;;;;;;;;;;;;;;; 85.000 ;;;; 180.000 ;;;;;; - ; - ; - ; 187.600 ; - ; - ; - 
IY;;;;;;;;;;;;;;;;;;;;; 210.000 ;;;;;;;;;;;;;;;;;;;;;;
IZ;;;;;;;;;;;;;;;;;;;;;;;;; 560.000 ;;;;;;;;;;;;;;;;;;
J;;;;; 6.347.680 ;;;; 395.000 ; 1.720.000 ; 280.000 ; 990.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 180.000 ;;;;
