ds;country;polygon_source;polygon_id;polygon_name;changeofmovement;stayput;baseline_name;baseline_type;;provinsi
Apr-20;IDN;GADM;IDN.10.25_1;Purworejo;-0.335174667;0.269180667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.10.26_1;Rembang;-0.242596667;0.231162667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.10.27_1;Salatiga;-0.306808333;0.224409;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.31_1;Sampang;-0.172831333;0.226421;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.28_1;Semarang;-0.257152667;0.219265333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.4.6_1;Serang;-0.211306;0.213903667;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.11.32_1;Sidoarjo;-0.292840333;0.23872;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.33_1;Situbondo;-0.257989667;0.235187333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.33.5_1;Sleman;-0.37984;0.278538333;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-20;IDN;GADM;IDN.10.29_1;Sragen;-0.253197333;0.220441333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.9.23_1;Subang;-0.216838;0.228823667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.9.24_1;Sukabumi;-0.284288667;0.268521667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.10.30_1;Sukoharjo;-0.299649667;0.21076;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.9.25_1;Sumedang;-0.316279667;0.265519667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.34_1;Sumenep;-0.202708667;0.219916333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.35_1;Surabaya;-0.334938333;0.267675;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.31_1;Surakarta;-0.342648667;0.226864;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.4.8_1;Tangerang;-0.324442333;0.264711;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.4.7_1;Tangerang Selatan;-0.449806667;0.344438;full_february;DAY_OF_WEEK;;Banten
Apr-20;IDN;GADM;IDN.9.26_1;Tasikmalaya;-0.300445667;0.299139667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.10.32_1;Tegal;-0.270913667;0.252072333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.10.33_1;Temanggung;-0.288989;0.250059667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.36_1;Trenggalek;-0.261768667;0.274909333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.37_1;Tuban;-0.240072;0.221546667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.11.38_1;Tulungagung;-0.265957333;0.261464333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.35_1;Wonogiri;-0.286012667;0.251754667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.10.36_1;Wonosobo;-0.330429333;0.283533333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.9.2_1;Bandung;-0.129685333;0.244267;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.9.1_1;Bandung Barat;-0.141088333;0.238511667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.1_1;Bangkalan;-0.068709667;0.211880667;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.13.3_1;Banjar;-0.096087833;0.210304333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.10.1_1;Banjarnegara;-0.112348;0.252445667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.33.1_1;Bantul;-0.142145;0.187772;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-21;IDN;GADM;IDN.10.2_1;Banyumas;-0.096474;0.225069;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.2_1;Banyuwangi;-0.105668667;0.236035333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.3_1;Batang;-0.006867333;0.199863333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.11.3_1;Batu;-0.156898667;0.225344;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.9.4_1;Bekasi;-0.111616667;0.224346667;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.4_1;Blitar;-0.119106667;0.238501333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.4_1;Blora;-0.106318333;0.219625;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.9.5_1;Bogor;-0.142252;0.236476333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-21;IDN;GADM;IDN.11.5_1;Bojonegoro;-0.072623667;0.215159;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.11.6_1;Bondowoso;-0.052600333;0.219516;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-21;IDN;GADM;IDN.10.5_1;Boyolali;-0.039710333;0.17766;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-21;IDN;GADM;IDN.10.6_1;Brebes;-0.0293;0.239789;full_february;DAY_OF_WEEK;;Jawa Tengah
